phrog_phrog	annot
phrog_841	GtrB-like O-antigen conversion
phrog_842	beta-glucosyl-HMC-alpha-glucosyltransferase
phrog_843	Holliday junction resolvase
phrog_844	ferredoxin
phrog_845	NA
phrog_846	NA
phrog_847	anti-repressor Ant
phrog_848	NA
phrog_849	DNA primase
phrog_850	RNA-binding protein
phrog_851	Shiga toxin subunit B
phrog_852	NA
phrog_853	major tail protein
phrog_854	glucosyltransferase
phrog_855	NA
phrog_856	NA
phrog_857	NA
phrog_858	starvation-inducible transcriptional regulator
phrog_859	portal protein
phrog_860	holin
phrog_861	site-specific recombination directionality factor RDF
phrog_862	NA
phrog_863	tail fiber assembly
phrog_864	DNA primase
phrog_865	HNH endonuclease
phrog_866	Shiga toxin subunit A
phrog_867	DNA binding domain
phrog_868	transcriptional activator
phrog_869	NA
phrog_870	NA
phrog_871	NA
phrog_872	NA
phrog_873	endolysin
phrog_874	NA
phrog_875	NA
phrog_876	transcriptional repressor
phrog_877	NA
phrog_878	NA
phrog_879	tail completion or Neck1 protein
phrog_880	endolysin
phrog_881	holin
phrog_882	NA
phrog_883	flavodoxin
phrog_884	NA
phrog_885	major tail protein
phrog_886	ABC transporter ATP-binding subunit
phrog_887	queuine tRNA-ribosyltransferase
phrog_888	NA
phrog_889	NA
phrog_890	lipoprotein
phrog_891	terminase small subunit
phrog_892	tail fiber protein
phrog_893	NA
phrog_894	endolysin
phrog_895	NA
phrog_896	NA
phrog_897	NA
phrog_898	NA
phrog_899	NA
phrog_900	NA
phrog_901	NA
phrog_902	NA
phrog_903	NA
phrog_904	excisionase
phrog_905	NA
phrog_906	DNA polymerase/primase
phrog_907	tail sheath
phrog_908	NA
phrog_909	major head protein
phrog_910	tail collar fiber protein
phrog_911	NA
phrog_912	NA
phrog_913	minor head protein
phrog_914	NA
phrog_915	NA
phrog_916	NA
phrog_917	released from the phage upon host infection
phrog_918	NA
phrog_919	NA
phrog_920	holin
phrog_921	NA
phrog_922	NA
phrog_923	NA
phrog_924	NA
phrog_925	HTH DNA binding protein
phrog_926	NA
phrog_927	tail completion or Neck1 protein
phrog_928	NA
phrog_929	RstB sensor of two protein system
phrog_930	ParB-like partition protein
phrog_931	head morphogenesis
phrog_932	NA
phrog_933	NA
phrog_934	tail length tape measure protein
phrog_935	NA
phrog_936	NA
phrog_937	hemolysin
phrog_938	endolysin
phrog_939	head protein
phrog_940	nuclease
phrog_941	NA
phrog_942	replication initiation protein
phrog_943	anti-termination protein Q-like
phrog_944	membrane protein
phrog_945	endonuclease
phrog_946	NA
phrog_947	DNA polymerase processivity factor
phrog_948	NA
phrog_949	NA
phrog_950	NA
phrog_951	NA
phrog_952	Rz-like spanin
phrog_953	HNH endonuclease
phrog_954	DNA methyltransferase
phrog_955	HTH DNA binding protein
phrog_956	transposase
phrog_957	head protein
phrog_958	baseplate wedge subunit
phrog_959	HNH endonuclease
phrog_960	HNH endonuclease
phrog_961	NA
phrog_962	holin
phrog_963	baseplate wedge subunit
phrog_964	baseplate wedge subunit
phrog_965	Panton-Valentine leukocicin
phrog_966	NA
phrog_967	baseplate wedge tail fiber protein connector
phrog_968	RNA ligase
phrog_969	NA
phrog_970	NA
phrog_971	endolysin
phrog_972	tail fiber protein proximal subunit
phrog_973	tail length tape measure protein
phrog_974	minor head protein
phrog_975	baseplate protein
phrog_976	head maturation protease
phrog_977	baseplate wedge subunit
phrog_978	tail assembly chaperone
phrog_979	terminase large subunit
phrog_980	NA
phrog_981	minor tail protein
phrog_982	NA
phrog_983	NA
phrog_984	NA
phrog_985	virion structural protein
phrog_986	RNA-binding protein
phrog_987	NA
phrog_988	tail protein
phrog_989	NA
phrog_990	metal-dependent phosphohydrolase
phrog_991	tail length tape measure protein
phrog_992	head protein
phrog_993	NA
phrog_994	NA
phrog_995	transcriptional regulator
phrog_996	NA
phrog_997	replication terminator
phrog_998	endolysin
phrog_999	head vertex assembly chaperone
phrog_1000	NA
phrog_1001	NA
phrog_1002	tail fiber chaperone
phrog_1003	NA
phrog_1004	virion structural protein
phrog_1005	major head protein
phrog_1006	NA
phrog_1007	NA
phrog_1008	DNA methyltransferase
phrog_1009	NA
phrog_1010	NA
phrog_1011	virion structural protein
phrog_1012	assembly (protein IV of M13)
phrog_1013	transposase
phrog_1014	NA
phrog_1015	tail protein with lysin activity
phrog_1016	NA
phrog_1017	NA
phrog_1018	head scaffolding protein
phrog_1019	NA
phrog_1020	NA
phrog_1021	NA
phrog_1022	NA
phrog_1023	NA
phrog_1024	NA
phrog_1025	RNA polymerase sigma factor
phrog_1026	Rz-like spanin
phrog_1027	NA
phrog_1028	head maturation protease
phrog_1029	NA
phrog_1030	tail needle knob
phrog_1031	NA
phrog_1032	replication initiation protein
phrog_1033	ParB-like partition protein
phrog_1034	NA
phrog_1035	endonuclease VII
phrog_1036	tail sheath
phrog_1037	virion structural protein
phrog_1038	tail assembly chaperone
phrog_1039	immunity to superinfection
phrog_1040	peptidase HslV family
phrog_1041	CTXphi Zot-like toxin
phrog_1042	NA
phrog_1043	unknown function
phrog_1044	endolysin
phrog_1045	NA
phrog_1046	NA
phrog_1047	tail associated lysin
phrog_1048	NA
phrog_1049	head scaffolding protein
phrog_1050	gam-like host nuclease inhibitor
phrog_1051	minor head protein inhibitor of protease
phrog_1052	head assembly
